Index,AircraftLength,AircraftSpan,AircraftFuelCapacity,AircraftMLW,AircraftACN,AircraftARFF,ReferenceCruiseFL,ReferenceVclimb,ReferenceVcruise,ReferenceVdescent,ReferenceMLD,ReferenceMORA,ReferenceZpOpt,LiveAltitude,LiveFuelWeight,LiveMAR,LiveSR,LiveIAS,LiveVz,AircraftFlightPhase,AircraftGPSLatitude,AircraftGPSLongitude,Heading,AircraftFlapsPosition,AircraftSlatsPosition,AircraftSpoilersPosition,AircraftFuel,AircraftLandingGearAuxilary,AircraftLandingGearPrincipal,LiveCurrentWeight,CurrentWaypointName,CurrentWaypointEstimatedTimeOfArrival,CurrentWaypointPlannedAltitude,CurrentWaypointGPSLatitude,CurrentWaypointGPSLongitude,ReferenceDescentFL,AircraftAntiIcingState,AircraftIcingProbe
44,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1625.39,23000.0,38234.46562160915,25588.484014346002,3380.2701315614004,710.4881416303639,0.09533912600947957,316.91281594137513,-5.194124852891946e-05,Cruise,44.660969310908,1.3805816574288001,351.6609958814449,0.0,0.0,0,7452.22,0.0,0.0,55538.2489440856,MAKOX,3.6496557389509467,24000,45.332778,1.238056,0,0,0
45,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1625.17,23000.0,38242.4601871304,25642.729318325,3358.9512901714,707.6566187362174,0.09556186294751774,316.61702551569573,-0.0004971941949349912,Cruise,44.705276162818,1.3716038516768998,351.6363118352199,0.0,0.0,0,7405.22,0.0,0.0,55516.9301026956,MAKOX,3.411381560106037,24000,45.332778,1.238056,0,0,0
46,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1624.96,23000.0,38250.434340995,25696.960504062,3337.6868798658,704.8240883847378,0.09578574629396545,316.32173822111173,-0.0005375580386157709,Cruise,44.74957019495999,1.362593764456,351.61019684685766,0.0,0.0,0,7358.34,0.0,0.0,55495.66569239,MAKOX,3.1728620866109565,24000,45.332778,1.238056,0,0,0
47,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1624.75,23000.0,38258.38468126018,25751.177227497003,3316.485972492,702.2929861166234,0.09605188824834829,316.02702154147715,-0.0007764982466085258,Cruise,44.793851236066,1.3535496976008001,351.5824621184809,0.0,0.0,0,7311.6,0.0,0.0,55474.4647850162,MAKOX,2.9340959404449274,24000,45.332778,1.238056,0,0,0
48,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1624.54,23000.0,38266.318011811476,25805.37906353,3295.3304243552,699.1578812945551,0.09623698978308966,315.7326812548132,-0.0004451354510592864,Cruise,44.838119063317,1.3444697051021002,351.55284775164336,0.0,0.0,0,7264.96,0.0,0.0,55453.3092368794,MAKOX,2.6950841774238743,24000,45.332778,1.238056,0,0,0
49,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1624.33,23000.0,38274.2343326489,25859.565624341,3274.2202354554,696.0211411771662,0.0964229209684621,315.4389369788292,-0.00037066470085278524,Cruise,44.882373436209996,1.3353515078586002,351.5210203292073,0.0,0.0,0,7218.42,0.0,0.0,55432.1990479796,MAKOX,2.455823772328579,24000,45.332778,1.238056,0,0,0
50,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1624.12,23000.0,38282.12173697274,25913.736365057997,3253.1871572585,693.9349730480365,0.09675545667529317,315.14555450096213,-0.0006184871187997488,Cruise,44.926614067296,1.3261923949273,351.48653670457674,0.0,0.0,0,7172.05,0.0,0.0,55411.165969782705,MAKOX,2.2163153225704577,24000,45.332778,1.238056,0,0,0
51,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1623.91,23000.0,38289.99553352547,25967.890773412,3232.1903664512,690.498234018087,0.09690169666366634,314.8527443419781,-0.0002964785959136407,Cruise,44.97084058616,1.3169890747136002,351.4487968152368,0.0,0.0,0,7125.76,0.0,0.0,55390.169178975404,MAKOX,1.9765557133712972,24000,45.332778,1.238056,0,0,0
52,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1623.7,23000.0,38297.84041356463,26022.028147688998,3211.2706863468,688.4088133925225,0.0972378275438472,314.5604257074191,-0.0005805578273054834,Cruise,45.015052550969,1.3077374605267,351.40697550622843,0.0,0.0,0,7079.64,0.0,0.0,55369.249498871,MAKOX,1.7365435669343172,24000,45.332778,1.238056,0,0,0
53,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1623.49,23000.0,38305.671685832676,26076.147631344,3190.3872936320004,684.9719338696831,0.09738568213570334,314.2685361394429,-0.0005116331486476612,Cruise,45.059249386321,1.2984323369081001,351.35987453956,0.0,0.0,0,7033.6,0.0,0.0,55348.3661061562,MAKOX,1.4962766147357267,24000,45.332778,1.238056,0,0,0
